Country,Version,Language,Date,PDF
Chile,First (Archived),English,10/02/2017,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Chile%20First/INDC%20Chile%20english%20version.pdf
China,First (Archived),English,03/09/2016,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/China%20First/China%27s%20First%20NDC%20Submission.pdf
China,First (Updated submission),Chinese,28/10/2021,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/China%20First/中国落实国家自主贡献成效和新目标新举措.pdf
China,First (Updated submission),English,28/10/2021,"https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/China%20First/China’s%20Achievements,%20New%20Goals%20and%20New%20Measures%20for%20Nationally%20Determined%20Contributions.pdf"
China,First (Updated submission letter),Chinese,28/10/2021,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/China%20First/cover%20letter.pdf
Colombia,First (Archived),Spanish,12/07/2018,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Colombia%20First/INDC%20Colombia.pdf
Colombia,First (Updated submission),Spanish,30/12/2020,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Colombia%20First/NDC%20actualizada%20de%20Colombia.pdf
Colombia,First-Technical Annex (Updated submission),Spanish,30/12/2020,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Colombia%20First/Adjunto%201.%20Metas%20de%20adaptación_NDC%20de%20Colombia%202020.pdf
Colombia,First-Technical Annex (Updated submission),Spanish,30/12/2020,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Colombia%20First/Adjunto%202.%20%20Medidas%20de%20mitigación_NDC%20de%20Colombia%202020.pdf
Colombia,First (Archived),English,12/07/2018,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Colombia%20First/Colombia%20iNDC%20Unofficial%20translation%20Eng.pdf
Comoros,First,French,23/11/2016,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Comoros%20First/INDC_Comores_Version_Francaise.pdf
Congo,First (Archived),French,21/04/2017,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Congo%20First/NDC_Congo_RAPPORT.pdf
Congo,First (Updated submission),French,02/08/2021,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Congo%20First/CDN_Congo.pdf
